entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
305760,306336,1998-09-25 07:25:00,1998-10-06 08:45:00,1,120.625,122.3578125,576,1714.1874999999943,18.625,True
306571,306572,1998-10-09 08:20:00,1998-10-09 08:25:00,-1,118.0625,118.26468750000001,1,-220.81250000000796,18.625,True
308058,308240,1998-11-05 12:15:00,1998-11-10 07:25:00,-1,118.21875,118.359375,182,-159.25,18.625,True
309294,309659,1998-12-01 08:35:00,1998-12-07 12:20:00,1,119.8125,119.728125,365,-102.99999999999432,18.625,True
310642,310878,1998-12-24 07:35:00,1998-12-29 13:55:00,-1,118.5,118.990625,236,-509.2499999999943,18.625,True
311370,311600,1999-01-08 08:15:00,1999-01-13 07:25:00,-1,117.8125,118.29625,230,-502.37500000000057,18.625,True
312825,314404,1999-02-04 09:30:00,1999-03-05 07:45:00,-1,117.125,114.824375,1579,2281.9999999999964,18.625,True
316274,316723,1999-04-08 10:15:00,1999-04-16 07:40:00,1,115.875,115.520625,449,-373.00000000000455,18.625,True
317572,318299,1999-04-30 11:45:00,1999-05-13 12:20:00,-1,114.875,114.1615625,727,694.8124999999977,18.625,True
318325,318780,1999-05-14 07:50:00,1999-05-21 12:25:00,-1,113.03125,113.24625,455,-233.6250000000034,18.625,True
319109,319442,1999-05-27 13:10:00,1999-06-04 07:35:00,-1,112.125,111.2578125,333,848.5625,18.625,True
319760,320192,1999-06-10 07:25:00,1999-06-17 10:05:00,-1,110.15625,110.5634375,432,-425.81250000000625,18.625,True
320573,320951,1999-06-24 08:30:00,1999-06-30 13:20:00,-1,109.46875,110.37406250000001,378,-923.937500000008,18.625,True
320959,322125,1999-06-30 14:00:00,1999-07-22 11:10:00,1,111.21875,111.1275,1166,-109.87500000000227,18.625,True
322482,323382,1999-07-29 07:35:00,1999-08-13 09:15:00,-1,110.1875,109.8059375,900,362.93750000000114,18.625,True
323981,324240,1999-08-24 12:30:00,1999-08-30 07:25:00,1,110.71875,110.50874999999999,259,-228.62500000000796,18.625,True
325680,325922,1999-09-24 07:25:00,1999-09-29 07:35:00,1,110.53125,110.0446875,242,-505.1875000000051,18.625,True
326100,326880,1999-10-01 09:05:00,1999-10-18 07:25:00,-1,109.359375,108.85906250000001,780,481.6874999999926,18.625,True
327305,327522,1999-10-25 09:30:00,1999-10-28 07:35:00,-1,107.78125,108.81171875,217,-1049.0937499999973,18.625,True
327806,328640,1999-11-02 11:15:00,1999-11-18 07:25:00,1,109.71875,109.6425,834,-94.8750000000017,18.625,True
329120,329602,1999-11-29 07:25:00,1999-12-07 07:35:00,-1,109.25,97.9384375,482,11292.937499999995,18.625,True
330195,331762,1999-12-16 10:20:00,2000-01-14 07:35:00,-1,96.96875,95.27140625,1567,1678.7187500000018,18.625,True
331847,332240,2000-01-18 08:00:00,2000-01-25 07:25:00,-1,94.328125,94.60859375,393,-299.09374999999716,18.625,True
332813,332856,2000-02-03 08:30:00,2000-02-03 12:05:00,1,95.609375,95.87531249999999,43,247.3124999999926,18.625,True
335066,335625,2000-03-15 09:35:00,2000-03-24 09:30:00,1,96.40625,96.958125,559,533.2499999999955,18.625,True
336018,336224,2000-03-31 08:55:00,2000-04-04 12:45:00,1,97.9375,98.938125,206,981.9999999999994,18.625,True
337441,338221,2000-04-27 07:30:00,2000-05-10 12:30:00,-1,97.46875,95.82375,780,1626.374999999996,18.625,True
338700,338819,2000-05-18 12:25:00,2000-05-22 09:00:00,-1,94.875,95.77640625,119,-920.0312499999937,18.625,True
339153,339481,2000-05-26 10:10:00,2000-06-02 10:50:00,1,96.703125,97.8553125,328,1133.5624999999966,18.625,True
341142,341798,2000-07-03 09:15:00,2000-07-14 10:35:00,1,98.8125,98.2884375,656,-542.6874999999994,18.625,True
342803,344400,2000-08-02 07:40:00,2000-08-30 07:25:00,1,99.28125,99.4021875,1597,102.31249999999659,18.625,True
344562,345360,2000-09-01 07:35:00,2000-09-18 07:25:00,1,100.40625,99.63421875,798,-790.6562499999977,18.625,True
346640,347125,2000-10-11 07:25:00,2000-10-19 07:50:00,1,100.546875,101.0728125,485,507.3124999999977,18.625,True
348079,348480,2000-11-03 14:00:00,2000-11-13 07:25:00,-1,100.375,100.96843750000001,401,-612.0625000000074,18.625,True
349040,350984,2000-11-22 07:25:00,2000-12-28 09:25:00,1,101.5625,104.49140625,1944,2910.2812499999973,18.625,True
351144,351262,2001-01-02 09:25:00,2001-01-03 12:35:00,1,105.546875,105.55875,118,-6.749999999996589,18.625,True
351798,351974,2001-01-12 10:35:00,2001-01-17 11:55:00,-1,104.3125,105.1978125,176,-903.9374999999977,18.625,True
352320,352480,2001-01-24 07:25:00,2001-01-26 07:25:00,-1,104.15625,104.6296875,160,-492.06250000000284,18.625,True
354181,354565,2001-02-27 09:10:00,2001-03-06 07:50:00,1,105.96875,105.2803125,384,-707.0625000000063,18.625,True
355043,355780,2001-03-14 07:40:00,2001-03-27 09:05:00,1,106.34375,106.28578125,737,-76.59375000000057,18.625,True
356607,356996,2001-04-10 11:20:00,2001-04-18 10:25:00,-1,105.46875,104.67703125,389,773.0937500000011,18.625,True
357602,357842,2001-04-30 07:35:00,2001-05-03 07:35:00,-1,103.640625,104.345625,240,-723.6249999999983,18.625,True
358381,358998,2001-05-11 12:30:00,2001-05-23 10:35:00,-1,103.3125,103.714375,617,-420.500000000004,18.625,True
359280,359440,2001-05-30 07:25:00,2001-06-01 07:25:00,-1,102.6875,102.97265625,160,-303.78125,18.625,True
360081,360952,2001-06-13 07:30:00,2001-06-27 13:25:00,1,104.046875,104.12015625,871,54.65624999999375,18.625,True
361042,361540,2001-06-29 07:35:00,2001-07-10 09:05:00,-1,103.171875,103.714375,498,-561.125000000004,18.625,True
362027,362962,2001-07-18 09:40:00,2001-08-03 07:35:00,1,105.171875,105.125625,935,-64.87500000000057,18.625,True
363277,364569,2001-08-08 13:50:00,2001-08-31 08:10:00,1,106.1875,106.425,1292,218.87499999999716,18.625,True
364696,364852,2001-09-04 12:05:00,2001-09-06 11:45:00,-1,105.453125,106.34984375,156,-915.3437500000051,18.625,True
365049,365224,2001-09-11 08:10:00,2001-09-18 11:25:00,1,107.5,107.78625,175,267.62499999999545,18.625,True
365747,366353,2001-09-27 10:20:00,2001-10-10 07:30:00,1,108.875,108.76078125,606,-132.84375000000625,18.625,True
367392,367714,2001-10-29 07:25:00,2001-11-02 07:35:00,1,109.859375,111.26671875,322,1388.7187499999955,18.625,True
368408,368558,2001-11-15 12:05:00,2001-11-19 11:15:00,-1,108.65625,107.880625,150,757.0000000000051,18.625,True
368675,368982,2001-11-21 07:40:00,2001-11-27 13:15:00,-1,106.8125,106.5865625,307,207.31250000000057,18.625,True
369432,369454,2001-12-05 10:45:00,2001-12-05 12:35:00,-1,105.53125,105.9553125,22,-442.6875000000051,18.625,True
369476,369725,2001-12-06 07:45:00,2001-12-11 08:30:00,-1,104.90625,104.66125,249,226.37500000000455,18.625,True
370032,370110,2001-12-17 07:25:00,2001-12-17 13:55:00,-1,103.625,103.54078125,78,65.59375000000512,18.625,True
371327,371756,2002-01-10 08:40:00,2002-01-17 11:05:00,1,105.609375,106.30125,429,673.249999999996,18.625,True
373392,373874,2002-02-19 07:25:00,2002-02-27 07:35:00,1,107.21875,106.59515625,482,-642.2187499999977,18.625,True
