Market,L,S,BarsBack,ISStart,ISEnd,OOSStart,OOSEnd,ISGrossProfit,ISNetProfit,ISGrossWorstDrawDown,ISNetWorstDrawDown,ISGrossStDev,ISNetStDev,ISTradeUnits,ISGrossObjective,ISNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossWorstDrawDown,OOSNetWorstDrawDown,OOSGrossStDev,OOSNetStDev,OOSTradeUnits,OOSGrossObjective,OOSNetObjective
BTC,1380,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,252351.250000,242988.750000,87096.250000,87521.250000,232.476053,232.508618,374.500000,2.897384,2.776340,-56466.250000,-59941.250000,254468.750000,256318.750000,550.596059,550.629459,139.000000,-0.221899,-0.233854
BTC,1380,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,206278.500000,198191.000000,79107.000000,79457.000000,251.477028,251.504391,323.500000,2.607588,2.494318,-20801.500000,-23651.500000,278537.000000,279112.000000,599.235386,599.268483,114.000000,-0.074681,-0.084738
BTC,1656,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,500849.750000,466849.750000,22137.750000,22875.250000,118.035130,118.066694,1360.000000,22.624239,20.408509,269788.250000,256375.750000,67707.500000,69382.500000,255.739976,255.838229,536.500000,3.984614,3.695107
BTC,1656,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,349033.500000,329421.000000,37724.500000,38999.500000,149.343871,149.394394,784.500000,9.252170,8.446801,322366.500000,315716.500000,95400.000000,96125.000000,348.998323,349.047444,266.000000,3.379104,3.284437
BTC,1656,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,305360.250000,291722.750000,72567.750000,73342.750000,179.679988,179.726463,545.500000,4.207933,3.977527,127019.000000,122144.000000,122455.750000,123255.750000,415.738341,415.770715,195.000000,1.037264,0.990980
BTC,1656,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,220924.000000,210261.500000,90662.000000,91187.000000,202.059671,202.100371,426.500000,2.436787,2.305828,160374.000000,156774.000000,143374.000000,143911.500000,472.498637,472.517963,144.000000,1.118571,1.089378
BTC,1656,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,262538.750000,253926.250000,99646.250000,100071.250000,225.688171,225.719407,344.500000,2.634708,2.537455,32868.750000,29843.750000,251597.500000,253247.500000,529.456316,529.483779,121.000000,0.130640,0.117844
BTC,1656,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,242502.500000,235115.000000,91657.000000,92007.000000,244.413495,244.438887,295.500000,2.645761,2.555403,100906.000000,98481.000000,257776.500000,258276.500000,577.223398,577.249163,97.000000,0.391448,0.381301
BTC,2208,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,452089.500000,422889.500000,23548.250000,24244.750000,111.360446,111.386807,1168.000000,19.198433,17.442518,214919.000000,203056.500000,62857.750000,64620.250000,240.285025,240.377114,474.500000,3.419133,3.142304
BTC,2208,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,295870.500000,278658.000000,45488.500000,46638.500000,140.434084,140.482974,688.500000,6.504292,5.974849,245168.000000,239268.000000,104300.000000,104775.000000,325.864559,325.916269,236.000000,2.350604,2.283636
BTC,2208,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,244255.500000,232218.000000,79575.250000,80275.250000,168.220127,168.260777,481.500000,3.069491,2.892772,56136.000000,51786.000000,154512.500000,155887.500000,389.490748,389.527120,174.000000,0.363310,0.332201
BTC,2208,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,171610.000000,162297.500000,87133.000000,87633.000000,190.279152,190.316460,372.500000,1.969518,1.852014,56841.000000,53591.000000,174576.000000,175576.000000,443.241399,443.263202,130.000000,0.325595,0.305230
BTC,2208,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,208376.250000,200838.750000,90926.250000,91551.250000,213.346742,213.374028,301.500000,2.291706,2.193730,-54450.000000,-57175.000000,245208.750000,245733.750000,497.986172,498.017168,109.000000,-0.222056,-0.232671
BTC,2208,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,203314.000000,196851.500000,76227.500000,76552.500000,231.692851,231.713638,258.500000,2.667200,2.571457,5013.000000,2838.000000,275232.000000,276282.000000,544.048050,544.071667,87.000000,0.018214,0.010272
