ticker,q,time_scale,VR,Z2,p2,significant
TY,2562,32.0sess,0.9562552005888901,-0.0006356572493147108,0.9994928189289647,False
TY,2602,32.5sess,0.9572820133627178,-0.0006164104538197284,0.9995081756469255,False
TY,2642,33.0sess,0.9579681889940066,-0.00060234525984092,0.999519398045962,False
TY,2682,33.5sess,0.9586785327913407,-0.0005881595268239526,0.9995307166213148,False
TY,2722,34.0sess,0.9593369854731653,-0.0005749281928599468,0.9995412736966183,False
TY,2762,34.5sess,0.9597207827966784,-0.0005657585016318477,0.9995485900504864,False
TY,2802,35.0sess,0.9599184468017913,-0.0005593335599668995,0.9995537164114339,False
TY,2842,35.5sess,0.9601283920360113,-0.000552847522709728,0.9995588915196219,False
TY,2880,36.0sess,0.9603876634651849,-0.0005459612570472081,0.9995643859638463,False
TY,2882,36.0sess,0.9603993672852015,-0.0005456284928929435,0.9995646514711878,False
TY,2922,36.5sess,0.960741980410704,-0.0005375436239401422,0.9995711022623555,False
TY,2962,37.0sess,0.9611443038401163,-0.0005287697177145629,0.9995781028256756,False
TY,3002,37.5sess,0.961686655099125,-0.0005182315188116563,0.9995865110907267,False
TY,3042,38.0sess,0.9623807627542216,-0.0005058011339530115,0.9995964291015902,False
TY,3082,38.5sess,0.9631037855178051,-0.0004931522562807739,0.9996065214445373,False
TY,3122,39.0sess,0.963677471765434,-0.00048265539338242713,0.999614896728384,False
TY,3162,39.5sess,0.9641224206185269,-0.000473999445824355,0.9996218031745097,False
TY,3202,40.0sess,0.9645117960514616,-0.0004661903409083521,0.9996280339380672,False
TY,3242,40.5sess,0.9650507665255933,-0.00045653251030581713,0.9996357397711757,False
TY,3282,41.0sess,0.9657254957024917,-0.0004452353569844614,0.9996447535944755,False
TY,3322,41.5sess,0.9665269972125989,-0.0004324406071947783,0.999654962326809,False
TY,3360,42.0sess,0.9671636374223509,-0.00042203218918249646,0.9996632670420855,False
TY,3362,42.0sess,0.9671931547736924,-0.0004215389703529192,0.9996636605737397,False
TY,3402,42.5sess,0.967651585934818,-0.0004134233133492821,0.9996701359305993,False
TY,3442,43.0sess,0.9679965667242835,-0.0004068492792801173,0.9996753812504442,False
TY,3482,43.5sess,0.968144355001197,-0.0004028505493371367,0.9996785717750669,False
TY,3522,44.0sess,0.9679970231705165,-0.00040261828591965605,0.9996787570944468,False
TY,3562,44.5sess,0.9677017931347515,-0.00040425146520626105,0.9996774540060149,False
TY,3602,45.0sess,0.9673213616405317,-0.0004069407155484988,0.9996753082948633,False
TY,3642,45.5sess,0.966960475062005,-0.0004093723172608549,0.9996733681575607,False
TY,3682,46.0sess,0.9666305219964109,-0.0004114096161157521,0.9996717426283954,False
TY,3722,46.5sess,0.9663301250109542,-0.00041307522794892075,0.9996704136625423,False
TY,3762,47.0sess,0.965944825042346,-0.0004157716677309425,0.9996682622150559,False
TY,3802,47.5sess,0.9658477377548172,-0.0004149506442335546,0.9996689172969719,False
TY,3840,48.0sess,0.9657921225136435,-0.0004137443184028118,0.9996698798056451,False
TY,3842,48.0sess,0.9657852919909182,-0.00041372857769874163,0.9996698923649088,False
TY,3882,48.5sess,0.9656372150555848,-0.0004135584273859728,0.9996700281252047,False
TY,3922,49.0sess,0.9654155952225241,-0.0004142803376445124,0.9996694521242044,False
TY,3962,49.5sess,0.964996721300881,-0.0004173567978327723,0.9996669974643306,False
TY,4002,50.0sess,0.9645242529722103,-0.0004210502853765357,0.9996640504879029,False
TY,4042,50.5sess,0.963933836496962,-0.00042611282011224534,0.999660011169961,False
TY,4082,51.0sess,0.9633284688302147,-0.00043131457634521485,0.9996558607693551,False
TY,4122,51.5sess,0.9625969992593463,-0.00043795541672272774,0.9996505621458476,False
TY,4162,52.0sess,0.9618753105963531,-0.00044443244300064596,0.9996453942270835,False
TY,4202,52.5sess,0.9612576557908907,-0.0004496542523463952,0.9996412278264435,False
TY,4242,53.0sess,0.9605409348200752,-0.0004559844306337914,0.9996361770754385,False
TY,4282,53.5sess,0.9597595283072543,-0.00046301335522073864,0.9996305688056237,False
TY,4320,54.0sess,0.9590010755965158,-0.00046982824535735774,0.9996251313105915,False
TY,4322,54.0sess,0.9589634149730408,-0.0004701597546389254,0.9996248668044834,False
TY,4362,54.5sess,0.9581628565774071,-0.0004773054265052581,0.9996191653838644,False
TY,4402,55.0sess,0.9573276911437556,-0.0004847933559788613,0.9996131908812362,False
TY,4442,55.5sess,0.9565037625600625,-0.0004921009689133671,0.999607360250395,False
TY,4482,56.0sess,0.9557439109824958,-0.0004986354202495805,0.9996021465132003,False
TY,4522,56.5sess,0.9550186987085868,-0.0005047367376154667,0.999597278366886,False
TY,4562,57.0sess,0.9541653174825249,-0.0005122298502123234,0.9995912997288057,False
TY,4602,57.5sess,0.9532730959274425,-0.0005201039033373521,0.9995850171442231,False
TY,4642,58.0sess,0.9523329511060042,-0.0005284552666242948,0.9995783537213108,False
TY,4682,58.5sess,0.9513764183812812,-0.000536930311270241,0.999571591614995,False
TY,4722,59.0sess,0.9505460748775957,-0.0005439596114341182,0.9995659830457402,False
TY,4762,59.5sess,0.9497851608716542,-0.0005501822104779638,0.9995610181307779,False
TY,4800,60.0sess,0.9490271922610982,-0.0005564403539747915,0.9995560248554669,False
