Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
4,tf,501134,501142,2025-01-08 11:00:00,2025-01-08 11:40:00,-1,94880.0,93672.45,8,6012.750000000015,25.0,True,276,0.01
4,tf,501370,501378,2025-01-09 07:40:00,2025-01-09 08:20:00,-1,92745.0,92909.9,8,-849.4999999999709,25.0,True,276,0.01
4,tf,501449,501456,2025-01-09 14:15:00,2025-01-09 14:50:00,-1,91990.0,92213.0,7,-1140.0,25.0,True,276,0.01
4,tf,501575,501645,2025-01-10 01:45:00,2025-01-10 07:35:00,1,94935.0,94787.55,70,-762.2499999999854,25.0,True,276,0.01
4,tf,501698,501704,2025-01-10 12:00:00,2025-01-10 12:30:00,1,95745.0,95411.25,6,-1693.75,25.0,True,276,0.01
4,tf,501765,501774,2025-01-12 18:35:00,2025-01-12 19:20:00,1,96375.0,95455.8,9,-4620.999999999985,25.0,True,276,0.01
4,tf,501882,501916,2025-01-13 04:20:00,2025-01-13 07:10:00,-1,92645.0,91425.2,34,6074.000000000015,25.0,True,276,0.01
4,tf,501933,501935,2025-01-13 08:35:00,2025-01-13 08:45:00,-1,90520.0,90420.25,2,473.75,25.0,True,276,0.01
4,tf,502062,502170,2025-01-13 20:20:00,2025-01-14 05:20:00,1,95435.0,96831.9,108,6959.499999999971,25.0,True,276,0.01
4,tf,502331,502374,2025-01-14 19:45:00,2025-01-14 23:20:00,1,97810.0,97203.15,43,-3059.250000000029,25.0,True,276,0.01
4,tf,502473,502510,2025-01-15 07:35:00,2025-01-15 10:40:00,1,98185.0,99321.75,37,5658.75,25.0,True,276,0.01
4,tf,502550,502559,2025-01-15 14:00:00,2025-01-15 14:45:00,1,100325.0,100227.6,9,-511.9999999999709,25.0,True,276,0.01
4,tf,502587,502594,2025-01-15 18:05:00,2025-01-15 18:40:00,1,101240.0,100410.75,7,-4171.25,25.0,True,276,0.01
4,tf,502763,502769,2025-01-16 08:45:00,2025-01-16 09:15:00,-1,99005.0,98530.55,6,2347.2499999999854,25.0,True,276,0.01
4,tf,502882,502896,2025-01-16 19:40:00,2025-01-16 20:50:00,1,101055.0,101588.85,14,2644.250000000029,25.0,True,276,0.01
4,tf,502966,503074,2025-01-17 02:40:00,2025-01-17 11:40:00,1,102615.0,104855.85,108,11179.25000000003,25.0,True,276,0.01
4,tf,503094,503111,2025-01-17 13:20:00,2025-01-17 14:45:00,1,105915.0,105509.25,17,-2053.75,25.0,True,276,0.01
4,tf,503133,503134,2025-01-19 17:35:00,2025-01-19 17:40:00,-1,100190.0,100909.1,1,-3620.500000000029,25.0,True,276,0.01
4,tf,503220,503222,2025-01-20 00:50:00,2025-01-20 01:00:00,1,106575.0,108013.95,2,7169.749999999985,25.0,True,276,0.01
4,tf,503635,503662,2025-01-21 12:25:00,2025-01-21 14:40:00,1,106945.0,106593.3,27,-1783.4999999999854,25.0,True,276,0.01
5,tf,503891,503899,2025-01-22 10:45:00,2025-01-22 11:25:00,-1,103810.0,104499.65,8,-3473.249999999971,25.0,True,276,0.01
5,tf,503971,504037,2025-01-22 18:25:00,2025-01-22 23:55:00,-1,103465.0,102631.15,66,4144.250000000029,25.0,True,276,0.01
5,tf,504095,504105,2025-01-23 04:45:00,2025-01-23 05:35:00,-1,101615.0,102292.8,10,-3414.0000000000146,25.0,True,276,0.01
5,tf,504144,504146,2025-01-23 08:50:00,2025-01-23 09:00:00,1,105400.0,105237.0,2,-840.0,25.0,True,276,0.01
5,tf,504161,504162,2025-01-23 10:15:00,2025-01-23 10:20:00,1,106300.0,106029.0,1,-1380.0,25.0,True,276,0.01
5,tf,504452,504470,2025-01-24 11:30:00,2025-01-24 13:00:00,1,106780.0,106410.15,18,-1874.250000000029,25.0,True,276,0.01
5,tf,504510,504559,2025-01-26 17:20:00,2025-01-26 21:25:00,-1,102860.0,101585.8,49,6345.999999999985,25.0,True,276,0.01
5,tf,504571,504611,2025-01-26 22:25:00,2025-01-27 01:45:00,-1,100580.0,98626.5,40,9742.5,25.0,True,276,0.01
5,tf,504841,504963,2025-01-27 21:55:00,2025-01-28 08:05:00,1,102950.0,102469.95,122,-2425.2500000000146,25.0,True,276,0.01
5,tf,504981,504984,2025-01-28 09:35:00,2025-01-28 09:50:00,1,103505.0,102831.3,3,-3393.4999999999854,25.0,True,276,0.01
5,tf,505054,505060,2025-01-28 15:40:00,2025-01-28 17:10:00,-1,100910.0,101303.0,6,-1990.0,25.0,True,276,0.01
