entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
103097,103098,2019-06-04 14:15:00,2019-06-04 14:20:00,-1,7575.0,7590.15,1,-100.74999999999818,25.0,True
103119,103120,2019-06-04 17:05:00,2019-06-04 17:10:00,-1,7515.0,7509.35,1,3.249999999998181,25.0,True
103387,103388,2019-06-05 15:25:00,2019-06-05 15:30:00,1,7940.0,7890.3,1,-273.4999999999991,25.0,True
103596,103597,2019-06-06 09:50:00,2019-06-06 09:55:00,-1,7605.0,7676.0,1,-380.0,25.0,True
103637,103638,2019-06-06 13:15:00,2019-06-06 13:20:00,-1,7600.0,7595.2,1,-0.9999999999990905,25.0,True
103639,103641,2019-06-06 13:25:00,2019-06-06 13:35:00,-1,7520.0,7534.6,2,-98.00000000000182,25.0,True
103767,103782,2019-06-07 01:05:00,2019-06-07 02:20:00,1,7900.0,7974.45,15,347.2499999999991,25.0,True
103793,103807,2019-06-07 03:15:00,2019-06-07 04:25:00,1,8055.0,8004.15,14,-279.2500000000018,25.0,True
103890,103925,2019-06-07 11:20:00,2019-06-07 14:15:00,1,8085.0,8093.25,35,16.25,25.0,True
103947,103957,2019-06-09 17:05:00,2019-06-09 17:55:00,-1,7740.0,7590.15,10,724.2500000000018,25.0,True
104385,104415,2019-06-11 06:35:00,2019-06-11 09:05:00,-1,7800.0,7832.55,30,-187.7500000000009,25.0,True
104442,104446,2019-06-11 11:20:00,2019-06-11 11:40:00,-1,7755.0,7797.2,4,-235.9999999999991,25.0,True
104556,104562,2019-06-11 21:50:00,2019-06-11 22:20:00,1,8010.0,8043.75,6,143.75,25.0,True
104705,104707,2019-06-12 10:15:00,2019-06-12 10:25:00,1,8125.0,8256.6,2,633.0000000000018,25.0,True
105018,105060,2019-06-13 13:20:00,2019-06-13 17:50:00,1,8270.0,8296.2,42,106.00000000000364,25.0,True
105225,105275,2019-06-14 07:35:00,2019-06-14 11:45:00,1,8380.0,8429.85,50,224.25000000000182,25.0,True
105327,105328,2019-06-16 17:05:00,2019-06-16 17:10:00,1,8515.0,9152.55,1,3162.7499999999964,25.0,True
105356,105368,2019-06-16 19:30:00,2019-06-16 20:30:00,1,9245.0,9226.8,12,-116.00000000000364,25.0,True
105402,105422,2019-06-16 23:20:00,2019-06-17 01:00:00,1,9320.0,9241.65,20,-416.7500000000018,25.0,True
